Time End;Sexo;País;En caso de ser Español, ¿cuál  es su provincia de procedencia?;Con quién viaja (sólo una opción);Duración de la estancia en Madrid;Con quién viaja (sólo una opción) - Observaciones;Número de informadores turísticos que están atendiendo;¿Ha buscado información sobre la ciudad de Madrid antes de venir? ¿A través de qué medio? - Observaciones;Oferta de idiomas;Satisfacción con la información facilitada sobre Visitas Guiadas;Observaciones;¿Cómo ha localizado los SAIT?;¿Cuál es el motivo de su visita a la Ciudad de Madrid? - Observaciones;Trato y amabilidad;Conocimiento del idioma utilizado por parte del personal;Satisfacción con la información facilitada;Utilidad de la información facilitada;Tiempo de espera para ser atendido;Orden y limpieza;Localización de las instalaciones;¿Cuál es su nivel global de satisfacción con el Servicio de Atención e Información Turística?;Horario de atención al público;¿Volvería a utilizar este servicio?;Mobiliario (sólo Centros de Turismo);Iluminación (sólo Centros de Turismo);Contenido de los folletos;¿ En qué medio de transporte ha llegado a Madrid? - Observaciones;Plano de la ciudad;¿Ha buscado información sobre la ciudad de Madrid antes de venir? ¿A través de qué medio?;Ruido ambiental;Disponibilidad de folletos en el idioma del usuario;Edad;¿Cómo ha localizado los SAIT? - Observaciones;¿Cuál es el motivo de su visita a la Ciudad de Madrid?;Claridad del lenguaje utilizado;Adecuación de los folletos a la información solicitada;Distribución del espacio (sólo Centros de Turismo;Satisfacción con el Horario de atención al público;¿Qué instalaciones del Servicio de Atención e Información Turística ha visitado? (Seleccione todas las opciones que correspondan);¿ En qué medio de transporte ha llegado a Madrid?;Aspecto del personal de atención (vestimenta, aseo, identificación);Señalización informativa
13/03/2023;Hombre;España;Las Palmas;En pareja;3 noches;;10;;10;NS/NC;;Los ha encontrado en su recorrido;El rey león;10;10;10;10;9;8;10;10;10;Sí;8;9;NS/NC;;10;No ha buscado información;6;9;+65;;Ver un espectáculo en particular (Indicar cuál);10;10;NS/NC;10;PIT del Paseo del Prado;Avión;10;8
13/03/2023;Mujer;España;Barcelona;En pareja;2 noches;;10;;10;10;;Los ha encontrado en su recorrido;REY LEON;10;10;10;10;10;9;10;10;9;Sí;10;9;10;;10;No ha buscado información;8;10;45-64;;Ver un espectáculo en particular (Indicar cuál);10;10;10;9;PIT de Callao;Tren;10;9
13/03/2023;Mujer;Francia;;En pareja;3 noches;;10;;10;10;;Los había visto anteriormente;;10;10;10;10;10;10;10;10;10;No;10;10;10;;10;Guías turísticas publicadas sobre la ciudad;10;10;45-64;;Gastronomía;10;10;10;10;PIT de Atocha;Tren;10;10
13/03/2023;Mujer;España;Asturias;Con amigos;De 4 a 7 noches;;9;;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;9;10;10;10;Sí;NS/NC;NS/NC;NS/NC;;10;Guías turísticas publicadas sobre la ciudad;6;NS/NC;+65;;Ocio, recreo y vacaciones;10;NS/NC;NS/NC;10;PIT del Paseo del Prado;Coche particular;10;10
13/03/2023;Mujer;Argentina;;En familia;De 2 semanas a 1 mes;;10;;10;10;;Los ha encontrado en su recorrido;;10;10;10;10;10;8;7;10;10;Sí;7;7;10;;10;No ha buscado información;7;10;45-64;;Ocio, recreo y vacaciones;10;5;7;7;PIT del Paseo del Prado;Avión;10;7
13/03/2023;Hombre;Italia;;En pareja;3 noches;;9;google;9;NS/NC;;Los ha encontrado en su recorrido;;9;10;10;9;9;9;9;9;9;Sí;9;9;5;;9;Internet/web (Indicar páginas);9;3;45-64;;Ocio, recreo y vacaciones;10;3;9;9;PIT del Paseo del Prado;Avión;9;9
13/03/2023;Hombre;México;;Con amigos;3 noches;;9;google;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;9;9;10;10;Sí;9;9;8;;10;Internet/web (Indicar páginas);7;10;25-44;;Ocio, recreo y vacaciones;10;8;9;10;PIT de Estadio Santiago Bernabéu;Avión;10;8
13/03/2023;Mujer;Argentina;;En familia;De 4 a 7 noches;;10;google;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;8;10;10;Sí;8;10;NS/NC;;9;Internet/web (Indicar páginas);6;10;25-44;;Gastronomía;10;9;8;10;PIT de Estadio Santiago Bernabéu;Avión;10;7
13/03/2023;Mujer;México;;En familia;De 4 a 7 noches;;10;Google;10;10;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;Internet/web (Indicar páginas);10;10;25-44;;Ocio, recreo y vacaciones;10;10;10;10;PIT del Aeropuerto T-4;Avión;10;10
13/03/2023;Mujer;Portugal;;En pareja;De 4 a 7 noches;;8;;NS/NC;NS/NC;;Los ha encontrado en su recorrido;;9;10;10;10;8;9;9;10;9;Sí;7;7;9;;9;No ha buscado información;7;7;25-44;;Ocio, recreo y vacaciones;10;8;8;9;PIT del Aeropuerto T-2;Avión;10;9
13/03/2023;Mujer;Italia;;En pareja;3 noches;;8;google;9;NS/NC;;Los ha encontrado en su recorrido;;10;9;10;10;10;9;10;9;10;Sí;9;9;NS/NC;;NS/NC;Internet/web (Indicar páginas);6;5;15-24;;Cultura;9;NS/NC;9;10;PIT de Estadio Santiago Bernabéu;Avión;10;8
13/03/2023;Mujer;México;;En familia;De 4 a 7 noches;;10;;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;9;10;9;10;Sí;NS/NC;NS/NC;9;;10;Guías turísticas publicadas sobre la ciudad;7;8;45-64;;Ocio, recreo y vacaciones;10;9;NS/NC;10;PIT del Paseo del Prado;Avión;10;9
13/03/2023;Hombre;Argentina;;En pareja;De 4 a 7 noches;;10;;10;4;;Los ha encontrado en su recorrido;;10;10;10;10;10;8;7;7;10;Sí;7;7;10;;9;No ha buscado información;7;10;45-64;;Ocio, recreo y vacaciones;10;10;7;9;Centro de Turismo de la Plaza Mayor;Avión;10;7
13/03/2023;Hombre;Estados Unidos;;En familia;2 noches;;9;;9;NS/NC;;Los ha encontrado en su recorrido;;10;10;9;9;9;9;9;9;9;Sí;NS/NC;NS/NC;9;;9;Guías turísticas publicadas sobre la ciudad;3;9;45-64;;Ocio, recreo y vacaciones;10;9;NS/NC;9;Centro de Turismo de la Plaza Mayor;Avión;9;NS/NC
